datetime,scene_id,cloud_cover,thumbnail_href
2017-05-20 17:13:01.026000+00:00,S2A_MSIL2A_20170520T171301_R112_T14SQE_20210209T165431,33.876407,
2020-07-08 17:08:49.024000+00:00,S2B_MSIL2A_20200708T170849_R112_T14SPE_20200912T124022,19.649854,
2025-03-19 17:10:41.025000+00:00,S2C_MSIL2A_20250319T171041_R112_T14SPE_20250319T222513,99.570686,
2022-11-20 17:16:21.024000+00:00,S2A_MSIL2A_20221120T171621_R112_T14SPE_20221121T033056,0.040269,
2022-03-10 17:10:29.024000+00:00,S2B_MSIL2A_20220310T171029_R112_T14SPE_20220311T174636,54.351711,
2023-09-01 17:08:59.024000+00:00,S2B_MSIL2A_20230901T170859_R112_T14SPE_20230902T003838,4.6e-05,
2024-03-14 17:11:01.024000+00:00,S2A_MSIL2A_20240314T171101_R112_T14SQE_20240314T233722,99.406564,
2019-07-14 17:08:59.024000+00:00,S2B_MSIL2A_20190714T170859_R112_T14SPE_20201005T140920,47.054154,
2020-10-06 17:11:09.024000+00:00,S2B_MSIL2A_20201006T171109_R112_T14SQE_20201010T060701,0.078414,
2020-07-13 17:09:01.024000+00:00,S2A_MSIL2A_20200713T170901_R112_T14SQE_20200913T010034,99.987918,
2023-06-28 17:08:51.024000+00:00,S2A_MSIL2A_20230628T170851_R112_T14SQE_20230629T084752,6.582019,
2024-12-09 17:17:21.024000+00:00,S2A_MSIL2A_20241209T171721_R112_T14SQE_20241209T210250,99.996811,
2020-12-15 17:17:19.024000+00:00,S2B_MSIL2A_20201215T171719_R112_T14SPE_20201216T042913,95.481823,
2022-09-01 17:09:01.024000+00:00,S2A_MSIL2A_20220901T170901_R112_T14SPE_20220902T113959,99.862194,
2024-08-01 17:08:51.024000+00:00,S2A_MSIL2A_20240801T170851_R112_T14SQE_20240802T002152,65.131545,
2020-02-09 17:14:49.024000+00:00,S2B_MSIL2A_20200209T171449_R112_T14SQE_20201001T132313,96.534708,
2019-02-14 17:14:19.024000+00:00,S2B_MSIL2A_20190214T171419_R112_T14SPE_20201007T165227,99.275921,
2024-09-30 17:11:21.024000+00:00,S2A_MSIL2A_20240930T171121_R112_T14SPE_20240930T224751,0.000717,
2023-11-20 17:16:19.024000+00:00,S2B_MSIL2A_20231120T171619_R112_T14SQE_20241107T125322,99.684811,
2017-05-20 17:13:01.026000+00:00,S2A_MSIL2A_20170520T171301_R112_T14SPE_20210209T165429,2.173337,
2022-01-09 17:16:59.024000+00:00,S2B_MSIL2A_20220109T171659_R112_T14SQE_20220110T230314,22.171855,
2025-04-10 17:17:11.024000+00:00,S2A_MSIL2A_20250410T171711_R112_T14SPE_20250411T014725,0.002057,
2020-12-20 17:17:31.024000+00:00,S2A_MSIL2A_20201220T171731_R112_T14SQE_20201221T003801,1.40808,
2022-12-20 17:17:31.024000+00:00,S2A_MSIL2A_20221220T171731_R112_T14SPE_20221221T095115,100.0,
2022-03-25 17:09:41.024000+00:00,S2A_MSIL2A_20220325T170941_R112_T14SPE_20220326T061330,0.886201,
2020-10-21 17:13:51.024000+00:00,S2A_MSIL2A_20201021T171351_R112_T14SPE_20201023T010328,5.458593,
2025-01-18 17:16:41.024000+00:00,S2A_MSIL2A_20250118T171641_R112_T14SPE_20250118T205150,56.422144,
2018-04-15 17:08:51.026000+00:00,S2A_MSIL2A_20180415T170851_R112_T14SPE_20201012T223611,0.827263,
2019-04-05 17:08:49.024000+00:00,S2B_MSIL2A_20190405T170849_R112_T14SQE_20201006T224005,74.717833,
2022-01-04 17:17:21.024000+00:00,S2A_MSIL2A_20220104T171721_R112_T14SPE_20220105T023049,100.0,
2022-10-01 17:11:31.024000+00:00,S2A_MSIL2A_20221001T171131_R112_T14SQE_20240722T120107,0.901067,
2022-04-24 17:09:01.024000+00:00,S2A_MSIL2A_20220424T170901_R112_T14SPE_20240605T153230,91.538173,
2025-07-17 17:09:11.025000+00:00,S2C_MSIL2A_20250717T170911_R112_T14SPE_20250717T215857,99.930298,
2023-07-03 17:08:59.024000+00:00,S2B_MSIL2A_20230703T170859_R112_T14SQE_20230703T233218,38.379699,
2018-01-15 17:16:41.026000+00:00,S2A_MSIL2A_20180115T171641_R112_T14SQE_20201014T055642,99.853946,
2021-06-13 17:08:49.024000+00:00,S2B_MSIL2A_20210613T170849_R112_T14SQE_20210615T042046,34.695833,
2022-09-26 17:10:49.024000+00:00,S2B_MSIL2A_20220926T171049_R112_T14SQE_20220927T111223,0.000113,
2023-05-19 17:08:51.024000+00:00,S2A_MSIL2A_20230519T170851_R112_T14SQE_20230520T024618,94.225246,
2020-02-29 17:11:39.024000+00:00,S2B_MSIL2A_20200229T171139_R112_T14SQE_20200929T080533,44.11956,
2025-02-22 17:12:19.024000+00:00,S2B_MSIL2A_20250222T171219_R112_T14SQE_20250222T204233,0.194204,
2021-05-09 17:08:51.024000+00:00,S2A_MSIL2A_20210509T170851_R112_T14SQE_20210510T130830,99.673103,
2025-05-08 17:09:11.025000+00:00,S2C_MSIL2A_20250508T170911_R112_T14SPE_20250508T225059,66.561186,
2024-11-14 17:14:59.024000+00:00,S2B_MSIL2A_20241114T171459_R112_T14SQE_20241114T220607,0.002629,
2024-11-29 17:16:51.024000+00:00,S2A_MSIL2A_20241129T171651_R112_T14SPE_20241129T210451,0.001712,
2022-11-10 17:15:41.024000+00:00,S2A_MSIL2A_20221110T171541_R112_T14SPE_20221111T045313,91.345233,
2018-10-27 17:14:19.024000+00:00,S2B_MSIL2A_20181027T171419_R112_T14SPE_20201009T160000,0.319737,
2023-10-16 17:13:11.024000+00:00,S2A_MSIL2A_20231016T171311_R112_T14SQE_20231017T011147,0.000175,
2016-12-01 17:16:52.026000+00:00,S2A_MSIL2A_20161201T171652_R112_T14SPE_20210213T170344,5.713389,
2021-04-29 17:08:51.024000+00:00,S2A_MSIL2A_20210429T170851_R112_T14SPE_20210430T133735,79.672773,
2022-03-15 17:10:51.024000+00:00,S2A_MSIL2A_20220315T171051_R112_T14SPE_20220316T063526,0.001297,
2016-01-16 17:16:42.030000+00:00,S2A_MSIL2A_20160116T171642_R112_T14SPE_20210527T183722,99.857255,
2021-07-18 17:08:51.024000+00:00,S2A_MSIL2A_20210718T170851_R112_T14SPE_20210719T045330,19.618375,
2016-12-21 17:17:22.026000+00:00,S2A_MSIL2A_20161221T171722_R112_T14SPE_20210213T232236,59.344439,
2025-04-28 17:09:11.025000+00:00,S2C_MSIL2A_20250428T170911_R112_T14SQE_20250428T222113,99.108815,
2026-01-03 17:17:31.025000+00:00,S2C_MSIL2A_20260103T171731_R112_T14SPE_20260103T210612,0.000272,
2021-05-04 17:08:49.024000+00:00,S2B_MSIL2A_20210504T170849_R112_T14SPE_20210505T054803,83.544555,
2018-11-01 17:14:41.024000+00:00,S2A_MSIL2A_20181101T171441_R112_T14SQE_20201030T231107,94.261443,
2024-09-20 17:10:11.024000+00:00,S2A_MSIL2A_20240920T171011_R112_T14SPE_20240920T223450,77.199972,
2025-06-22 17:08:49.024000+00:00,S2B_MSIL2A_20250622T170849_R112_T14SPE_20250622T204748,0.075229,
2018-02-19 17:13:29.027000+00:00,S2B_MSIL2A_20180219T171329_R112_T14SQE_20201013T231638,99.348947,
2025-06-12 17:08:49.024000+00:00,S2B_MSIL2A_20250612T170849_R112_T14SQE_20250612T211233,100.0,
2021-09-06 17:08:51.024000+00:00,S2A_MSIL2A_20210906T170851_R112_T14SQE_20210907T065325,0.120355,
2023-11-25 17:16:31.024000+00:00,S2A_MSIL2A_20231125T171631_R112_T14SQE_20231125T220831,47.75621,
2025-12-14 17:17:31.025000+00:00,S2C_MSIL2A_20251214T171731_R112_T14SQE_20251214T210811,0.002323,
2024-04-03 17:08:51.024000+00:00,S2A_MSIL2A_20240403T170851_R112_T14SPE_20240404T022200,0.115637,
2023-07-28 17:08:51.024000+00:00,S2A_MSIL2A_20230728T170851_R112_T14SPE_20241020T141559,3.617221,
2024-03-14 17:11:01.024000+00:00,S2A_MSIL2A_20240314T171101_R112_T14SPE_20240314T233036,39.237714,
2016-02-02 17:05:22.030000+00:00,S2A_MSIL2A_20160202T170522_R069_T14SQE_20210528T014231,41.514633,
2023-07-08 17:08:51.024000+00:00,S2A_MSIL2A_20230708T170851_R112_T14SQE_20241016T130838,75.971484,
2022-07-08 17:08:59.024000+00:00,S2B_MSIL2A_20220708T170859_R112_T14SPE_20220709T060823,20.728424,
2019-01-15 17:16:49.024000+00:00,S2B_MSIL2A_20190115T171649_R112_T14SQE_20201008T015354,21.621936,
2023-05-24 17:08:59.024000+00:00,S2B_MSIL2A_20230524T170859_R112_T14SQE_20240907T171008,98.159659,
2022-11-30 17:17:01.024000+00:00,S2A_MSIL2A_20221130T171701_R112_T14SQE_20221202T221856,0.024508,
2016-07-24 17:13:02.026000+00:00,S2A_MSIL2A_20160724T171302_R112_T14SPE_20210212T073957,0.300507,
2024-12-19 17:17:31.024000+00:00,S2A_MSIL2A_20241219T171731_R112_T14SQE_20241219T210951,31.415543,
2023-02-18 17:13:51.024000+00:00,S2A_MSIL2A_20230218T171351_R112_T14SQE_20240818T191009,92.65334,
2019-09-22 17:10:19.024000+00:00,S2B_MSIL2A_20190922T171019_R112_T14SPE_20201004T161524,93.403555,
2020-08-02 17:09:01.024000+00:00,S2A_MSIL2A_20200802T170901_R112_T14SQE_20200815T210612,19.341241,
2022-02-03 17:15:21.024000+00:00,S2A_MSIL2A_20220203T171521_R112_T14SQE_20240510T073657,99.992257,
2018-12-01 17:16:51.024000+00:00,S2A_MSIL2A_20181201T171651_R112_T14SPE_20201008T063014,15.110458,
2023-03-10 17:11:21.024000+00:00,S2A_MSIL2A_20230310T171121_R112_T14SQE_20230311T002648,44.906285,
2022-06-18 17:08:49.024000+00:00,S2B_MSIL2A_20220618T170849_R112_T14SPE_20220620T174630,5.265387,
2022-02-08 17:14:49.024000+00:00,S2B_MSIL2A_20220208T171449_R112_T14SQE_20220220T142907,0.040781,
2021-12-05 17:17:11.024000+00:00,S2A_MSIL2A_20211205T171711_R112_T14SPE_20211206T021938,22.913288,
2018-09-22 17:10:21.024000+00:00,S2A_MSIL2A_20180922T171021_R112_T14SQE_20201009T034422,79.360632,
2023-12-05 17:17:01.024000+00:00,S2A_MSIL2A_20231205T171701_R112_T14SPE_20231206T011552,0.000332,
2017-10-22 17:13:39.027000+00:00,S2B_MSIL2A_20171022T171339_R112_T14SQE_20201015T014002,0.13944,
2025-04-23 17:08:49.024000+00:00,S2B_MSIL2A_20250423T170849_R112_T14SPE_20250423T205955,0.01133,
2020-06-08 17:08:49.024000+00:00,S2B_MSIL2A_20200608T170849_R112_T14SPE_20200826T161428,25.178128,
2023-04-09 17:08:51.024000+00:00,S2A_MSIL2A_20230409T170851_R112_T14SQE_20230410T021407,96.732193,
2018-08-13 17:08:51.024000+00:00,S2A_MSIL2A_20180813T170851_R112_T14SQE_20201027T032600,99.976026,
2017-09-12 17:09:49.027000+00:00,S2B_MSIL2A_20170912T170949_R112_T14SPE_20210202T013120,99.788869,
2019-05-05 17:08:59.024000+00:00,S2B_MSIL2A_20190505T170859_R112_T14SPE_20201006T103129,16.146267,
2023-03-15 17:10:59.024000+00:00,S2B_MSIL2A_20230315T171059_R112_T14SQE_20240822T224822,98.862123,
2023-11-15 17:16:01.024000+00:00,S2A_MSIL2A_20231115T171601_R112_T14SQE_20241107T085226,0.000529,
2018-12-06 17:17:09.024000+00:00,S2B_MSIL2A_20181206T171709_R112_T14SPE_20201030T234807,99.688675,
2020-05-24 17:09:01.024000+00:00,S2A_MSIL2A_20200524T170901_R112_T14SQE_20200910T192358,94.673708,
2023-02-18 17:13:51.024000+00:00,S2A_MSIL2A_20230218T171351_R112_T14SQE_20230220T174410,92.640066,
2021-08-12 17:08:49.024000+00:00,S2B_MSIL2A_20210812T170849_R112_T14SPE_20210813T013657,44.852719,
2025-08-16 17:09:11.025000+00:00,S2C_MSIL2A_20250816T170911_R112_T14SQE_20250816T221914,7.460083,
2022-10-16 17:13:09.024000+00:00,S2B_MSIL2A_20221016T171309_R112_T14SQE_20240723T145336,99.999797,
2023-10-01 17:10:29.024000+00:00,S2B_MSIL2A_20231001T171029_R112_T14SPE_20231001T233238,21.689884,
2023-07-08 17:08:51.024000+00:00,S2A_MSIL2A_20230708T170851_R112_T14SPE_20241016T130838,54.331058,
2017-08-08 17:08:51.026000+00:00,S2A_MSIL2A_20170808T170851_R112_T14SQE_20210210T213246,30.770055,
2023-04-24 17:08:49.024000+00:00,S2B_MSIL2A_20230424T170849_R112_T14SQE_20240906T012615,18.450922,
2023-07-18 17:08:51.024000+00:00,S2A_MSIL2A_20230718T170851_R112_T14SPE_20230719T031022,13.757885,
2023-02-03 17:15:19.024000+00:00,S2B_MSIL2A_20230203T171519_R112_T14SQE_20230204T155949,0.000532,
2018-04-20 17:08:49.027000+00:00,S2B_MSIL2A_20180420T170849_R112_T14SPE_20201013T003902,41.196504,
2021-02-03 17:15:19.024000+00:00,S2B_MSIL2A_20210203T171519_R112_T14SPE_20210208T130952,2.82395,
2022-08-17 17:08:49.024000+00:00,S2B_MSIL2A_20220817T170849_R112_T14SPE_20240703T071738,99.898303,
2023-01-19 17:16:31.024000+00:00,S2A_MSIL2A_20230119T171631_R112_T14SQE_20240811T101801,0.000775,
2025-02-12 17:13:39.024000+00:00,S2B_MSIL2A_20250212T171339_R112_T14SPE_20250212T203039,99.994469,
2023-09-16 17:09:41.024000+00:00,S2A_MSIL2A_20230916T170941_R112_T14SQE_20241021T151944,81.133705,
2025-06-07 17:09:11.024000+00:00,S2C_MSIL2A_20250607T170911_R112_T14SPE_20250607T222913,64.369148,
2023-10-26 17:14:11.025000+00:00,S2A_MSIL2A_20231026T171411_R112_T14SPE_20241103T003228,1.399448,
2025-06-29 17:17:21.024000+00:00,S2A_MSIL2A_20250629T171721_R112_T14SQE_20250629T222616,0.516573,
2025-04-03 17:08:49.024000+00:00,S2B_MSIL2A_20250403T170849_R112_T14SQE_20250403T210713,99.999607,
2018-12-26 17:17:29.024000+00:00,S2B_MSIL2A_20181226T171729_R112_T14SPE_20201008T131843,98.70425,
2023-04-09 17:08:51.024000+00:00,S2A_MSIL2A_20230409T170851_R112_T14SPE_20230410T020118,64.200997,
2024-08-31 17:08:51.024000+00:00,S2A_MSIL2A_20240831T170851_R112_T14SPE_20240901T000753,97.880745,
2024-08-16 17:08:49.024000+00:00,S2B_MSIL2A_20240816T170849_R112_T14SPE_20240816T213158,7.525788,
2021-07-03 17:08:49.024000+00:00,S2B_MSIL2A_20210703T170849_R112_T14SPE_20210704T120142,9.147663,
2025-03-24 17:08:49.024000+00:00,S2B_MSIL2A_20250324T170849_R112_T14SPE_20250324T211131,99.971783,
2023-08-07 17:08:51.024000+00:00,S2A_MSIL2A_20230807T170851_R112_T14SPE_20230808T012223,5.02427,
2023-11-10 17:15:39.024000+00:00,S2B_MSIL2A_20231110T171539_R112_T14SPE_20241103T072231,0.001715,
2021-03-25 17:08:49.024000+00:00,S2B_MSIL2A_20210325T170849_R112_T14SPE_20210326T094939,74.997388,
2019-10-02 17:11:29.024000+00:00,S2B_MSIL2A_20191002T171129_R112_T14SPE_20201003T215517,8.93055,
2025-05-13 17:08:49.024000+00:00,S2B_MSIL2A_20250513T170849_R112_T14SPE_20250513T211256,1.48256,
2025-08-08 17:17:21.024000+00:00,S2A_MSIL2A_20250808T171721_R112_T14SPE_20250808T224020,7.647387,
2023-08-27 17:08:51.024000+00:00,S2A_MSIL2A_20230827T170851_R112_T14SPE_20241024T054627,47.254834,
2019-09-12 17:08:59.024000+00:00,S2B_MSIL2A_20190912T170859_R112_T14SPE_20201004T122741,15.615776,
2025-01-08 17:17:01.024000+00:00,S2A_MSIL2A_20250108T171701_R112_T14SQE_20250108T205859,0.0047,
2024-06-17 17:08:49.024000+00:00,S2B_MSIL2A_20240617T170849_R112_T14SPE_20240617T223316,32.378447,
2023-10-31 17:14:39.024000+00:00,S2B_MSIL2A_20231031T171439_R112_T14SPE_20241027T124644,0.373609,
2019-08-08 17:09:01.024000+00:00,S2A_MSIL2A_20190808T170901_R112_T14SPE_20201004T215358,92.990589,
2024-06-07 17:08:49.024000+00:00,S2B_MSIL2A_20240607T170849_R112_T14SPE_20240607T230724,66.718596,
2017-10-02 17:11:19.027000+00:00,S2B_MSIL2A_20171002T171119_R112_T14SQE_20210202T130754,25.499314,
2019-07-09 17:09:01.024000+00:00,S2A_MSIL2A_20190709T170901_R112_T14SQE_20201005T113131,7.817234,
2022-03-15 17:10:51.024000+00:00,S2A_MSIL2A_20220315T171051_R112_T14SPE_20240525T020114,0.001271,
2024-09-05 17:08:59.024000+00:00,S2B_MSIL2A_20240905T170859_R112_T14SQE_20240905T231126,2.419892,
2016-07-11 17:03:12.026000+00:00,S2A_MSIL2A_20160711T170312_R069_T14SQE_20210212T033927,13.001305,
2025-09-17 17:17:11.024000+00:00,S2A_MSIL2A_20250917T171711_R112_T14SQE_20250917T222015,57.488847,
2018-08-03 17:08:51.024000+00:00,S2A_MSIL2A_20180803T170851_R112_T14SPE_20201010T203312,0.275622,
2018-09-17 17:09:39.024000+00:00,S2B_MSIL2A_20180917T170939_R112_T14SPE_20201009T021228,24.301942,
2024-04-03 17:08:51.024000+00:00,S2A_MSIL2A_20240403T170851_R112_T14SQE_20240404T021727,1.314209,
2023-08-07 17:08:51.024000+00:00,S2A_MSIL2A_20230807T170851_R112_T14SQE_20230808T012237,40.423453,
2025-04-30 17:17:11.024000+00:00,S2A_MSIL2A_20250430T171711_R112_T14SQE_20250501T014006,100.0,
2023-08-22 17:08:59.024000+00:00,S2B_MSIL2A_20230822T170859_R112_T14SQE_20230823T222047,2.428146,
2022-10-06 17:11:59.024000+00:00,S2B_MSIL2A_20221006T171159_R112_T14SQE_20240801T201540,0.334374,
2025-09-15 17:09:51.025000+00:00,S2C_MSIL2A_20250915T170951_R112_T14SQE_20250916T000514,2.212211,
2018-05-20 17:08:49.027000+00:00,S2B_MSIL2A_20180520T170849_R112_T14SQE_20201012T121739,95.356444,
2024-01-04 17:17:11.024000+00:00,S2A_MSIL2A_20240104T171711_R112_T14SQE_20240104T221323,73.999494,
2025-08-08 17:17:21.024000+00:00,S2A_MSIL2A_20250808T171721_R112_T14SQE_20250808T224020,29.11458,
2019-09-02 17:08:49.024000+00:00,S2B_MSIL2A_20190902T170849_R112_T14SPE_20201004T083510,1.724149,
